RFQ_MASTER_ID,PRODUCT_FAMILY,RECEIVE_DATE,RFQ_STATUS,EST_PROD_REVENUE,EST_SALES_QTY,EST_PROD_COST,DB_YEAR,DB_DATE,SI_DATE,PV_DATE,RTM_DATE,FCS_DATE,LIFE_CYCLE,END_YEAR,END_DATE,LOST_REASON_CODE,LOST_REASON_DESC,YLY_SHIPMENT_ONLY,REMARK,EDITOR,CDT,UDT
53,Vision,00:00.0,Award,15484500000,300000,15323126400,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,iec050159,30:09.5,58:57.5
54,Varcolac,00:00.0,Award,16774875000,325000,16537125150,2022,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,24,2022,00:00.0,,,NULL,,iec050159,30:09.6,58:41.1
55,Sylva,00:00.0,Award,7131240000,213000,7026886188,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2020,00:00.0,,,NULL,,iec050159,30:24.7,57:02.3
56,Starlight,00:00.0,Award,6835109400,200000,6732146682,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2020,00:00.0,,,NULL,,iec050159,30:24.8,56:44.8
57,Starfox,00:00.0,Award,12834000000,460000,12742108560,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,iec050159,30:37.4,56:23.4
58,Sandwalker,00:00.0,Award,8470440000,330000,8393929830,2022,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2022,00:00.0,,,NULL,,iec050159,30:37.4,55:28.6
59,Ultron,00:00.0,Award,1701900000,61000,1670553255,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,iec050159,30:48.9,58:07.5
60,WARPATH13,00:00.0,Award,20034632927,914854,19955762449,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.2,53:16.2
61,WARPATH14,00:00.0,Award,57375771302,2568833,57035336709,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.3,53:37.7
62,WARPATH16,00:00.0,Award,14245101894,595863,14168462591,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.4,55:09.6
63,WARPATHW14,00:00.0,Award,5622006534,200545,5595429308,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.5,55:38.3
64,WARPATHW16,00:00.0,Award,3247921620,108724,3233937648,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.6,55:55.1
65,POWDERKEG,00:00.0,Award,12014416854,474000,11938375404,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.6,56:32.5
66,WARPATH14L,00:00.0,Award,9151707780,374450,9102083794,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.7,54:06.3
67,WARPATH14LX,00:00.0,Award,6321403441,224635,6285366372,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.8,54:41.6
68,LOCKHEED13,00:00.0,Award,4995798217,226800,4978333710,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:40.9,56:48.6
69,LOCKHEED14,00:00.0,Award,18788266224,819000,18760617603,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:41.0,57:01.4
70,LOCKHEED16,00:00.0,Award,5971740552,244800,5949338414,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,,,IEC050159,32:41.1,57:18.1
71,Pax,00:00.0,Award,4415292403,242900,4412323478,2022,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,15,2022,00:00.0,,,NULL,,iec050159,35:42.2,50:46.6
72,Pixie,00:00.0,Award,4018582080,230000,3998176020,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,15,2021,00:00.0,,,NULL,,iec050159,35:42.4,52:56.8
73,PEPPER,00:00.0,Award,3013200000,180000,3013200000,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,15,2020,00:00.0,,,NULL,,iec050159,35:58.3,39:04.1
74,Masala,00:00.0,Award,3909365856,198000,3866387580,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,24,2021,00:00.0,,,NULL,,iec050159,35:58.4,49:24.8
75,Sansa,00:00.0,Award,4267902265,276641,4253005977,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30,2019,00:00.0,,,NULL,,iec050159,36:42.5,55:47.0
76,Bran,00:00.0,Award,12742837853,829021,12702592199,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30,2019,00:00.0,,,NULL,,iec050159,36:42.6,41:57.7
77,Boggle,00:00.0,Award,10670617260,620000,10593122220,2021,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18,2021,00:00.0,,,NULL,,iec050159,36:42.8,41:36.1
78,Nantucket,00:00.0,Award,12946166370,530000,12698040510,2016,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60,2019,00:00.0,,,NULL,,iec050159,36:42.9,50:20.2
79,Tasmania,00:00.0,Award,10707171840,380000,10638788940,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60,2019,00:00.0,,,NULL,,iec050159,36:43.0,57:23.3
80,Paradigm,00:00.0,Award,1949512500,125000,1780299000,2020,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,48,2020,00:00.0,,,NULL,,iec050159,36:43.1,50:34.1
81,Tranquill,00:00.0,Award,19257511860,1555000,19069656975,2018,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,52,2018,00:00.0,,,NULL,,iec050159,36:43.2,57:37.7
82,Mulan,00:00.0,Award,790573284,108000,781322760,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,36,2019,00:00.0,,,NULL,,iec050159,36:43.3,50:02.8
83,Slice2,00:00.0,Award,1619455500,100000,1606565700,2017,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,36,2017,00:00.0,,,NULL,,iec050159,36:43.4,16:03.9
84,Ludao,00:00.0,Award,1649362340,182883,1640892297,2019,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,24,2019,00:00.0,,,NULL,,iec050159,36:43.6,48:50.9
